Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
0.0,359808,194,1854.7,1760.0,1440,3776,340.2,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, float, __nv_bfloat16, float, __nv_bfloat16, (bool)0, float, __nv_bfloat16, __nv_bfloat16, (bool)1, (bool)0, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)"
0.0,318944,12,26578.7,25968.0,21792,31328,3176.9,nvjet_sm121_tst_mma_64x32x64_8_32x16x64_tmaAB_bz_TNNN
0.0,293088,24,12212.0,12240.0,11808,12640,320.5,deinterleave_qg_split_qnorm
0.0,292352,72,4060.4,4144.0,2848,5376,1089.9,l2_norm_bf16
0.0,270368,12,22530.7,22608.0,20416,24704,1164.6,nvjet_sm121_tst_mma_32x32x64_12_32x8x64_tmaAB_bz_TNNN
0.0,217472,72,3020.4,1136.0,1056,9696,3062.8,exl3_f16_to_bf16
0.0,183776,96,1914.3,1888.0,1760,5824,416.9,exl3_moe_stage_sorted
0.0,179296,12,14941.3,14784.0,14720,16544,508.1,inferspark_prefill_paged
0.0,170848,120,1423.7,1312.0,1056,3392,417.4,fill_slots_from_block_table
0.0,165280,36,4591.1,4096.0,3872,7840,1071.2,dense_gemv_ba_gates
0.0,148224,12,12352.0,12336.0,12288,12448,51.1,inferspark_prefill_64
0.0,139200,12,11600.0,11648.0,11392,11776,114.6,rope_forward
0.0,89504,24,3729.3,3728.0,2112,5600,1613.2,sigmoid_gate_mul_batched
0.0,30208,2,15104.0,15104.0,12864,17344,3167.8,batched_embed
