  L stage                 relL2       cosine       maxabs
 12 block_out         5.848e-02  0.998310122    1.294e-02
 12 post_gdn          2.904e-02  0.999578500    2.257e-03
 12 post_moe          3.197e-02  0.999489209    2.344e-03
 13 in                3.197e-02  0.999489209    2.344e-03
 13 hc_pre_mixed      6.150e-02  0.998107183    1.562e-01
 13 hc_pre_inj        8.163e-03  0.999968932    4.922e-04
 13 qkvz_preconv      2.658e-02  0.999649170    2.500e-01
 13 gates             5.869e-03  0.999983762    1.653e-02
 13 post_conv         2.055e-02  0.999797321    2.734e-02
 13 raw_recur         2.096e-02  0.999784370    2.441e-04
 13 pre_out_proj      6.297e-02  0.998022995    1.807e-02
 13 block_out         6.696e-02  0.997762019    1.248e-02
 13 post_gdn          3.085e-02  0.999524678    2.292e-03
 13 post_moe          3.855e-02  0.999257381    2.818e-03
 14 in                3.855e-02  0.999257381    2.818e-03
 14 hc_pre_mixed      8.824e-02  0.996113991    2.852e-01
 14 hc_pre_inj        2.000e-02  0.999902397    7.843e-04
 14 qkvz_preconv      3.802e-02  0.999291213    3.594e-01
 14 gates             7.406e-03  0.999972622    1.460e-02
 14 post_conv         3.979e-02  0.999225013    6.348e-02
 14 raw_recur         1.548e-02  0.999910331    4.883e-04
 14 pre_out_proj      5.485e-02  0.998526756    3.516e-02
 14 block_out         7.271e-02  0.997431087    3.119e-02
 14 post_gdn          3.672e-02  0.999326085    3.084e-03
 14 post_moe          4.329e-02  0.999068067    3.808e-03
 15 in                4.451e-02  0.999016463    4.133e-03
 15 hc_pre_mixed      7.750e-02  0.996993627    2.090e-01
 15 hc_pre_inj        3.127e-03  0.999995160    1.471e-04
 15 qkvz_preconv      3.467e-02  0.999400075    3.037e-01
 15 gates             9.877e-03  0.999951395    2.307e-02
 15 post_conv         2.685e-02  0.999640987    7.031e-02
 15 raw_recur         2.702e-02  0.999652673    9.766e-04
 15 pre_out_proj      4.109e-02  0.999160871    3.418e-02
 15 block_out         6.979e-02  0.997562102    3.406e-02
 15 post_gdn          4.235e-02  0.999109217    4.081e-03
 15 post_moe          4.724e-02  0.998890540    4.478e-03
 15 attn_in           3.240e-02  0.999474904    2.533e-03
 15 post_attn         2.927e-02  0.999571520    2.310e-03
 16 in                4.724e-02  0.998890540    4.478e-03
 16 hc_pre_mixed      7.849e-02  0.996920067    2.056e-01
 16 hc_pre_inj        2.356e-02  0.999912206    2.017e-03
 16 qkvz_preconv      3.318e-02  0.999456718    3.281e-01
 16 gates             1.159e-02  0.999942840    3.340e-02
 16 post_conv         2.245e-02  0.999749821    5.078e-02
 16 raw_recur         1.738e-02  0.999885549    4.883e-04
 16 pre_out_proj      5.279e-02  0.998679614    9.277e-03
 16 block_out         6.850e-02  0.997760697    8.667e-03
 16 post_gdn          4.633e-02  0.998933606    4.602e-03
 16 post_moe          6.935e-02  0.997594770    7.012e-03
 17 in                6.935e-02  0.997594770    7.012e-03
 17 hc_pre_mixed      9.752e-02  0.995236094    2.317e-01
 17 hc_pre_inj        6.292e-04  0.999999802    1.183e-04
 17 qkvz_preconv      3.552e-02  0.999368886    3.789e-01
 17 gates             1.425e-02  0.999903339    2.861e-02
 17 post_conv         2.040e-02  0.999795011    4.102e-02
 17 raw_recur         1.792e-02  0.999871382    5.859e-03
 17 pre_out_proj      5.062e-02  0.998757717    2.930e-02
 17 block_out         5.357e-02  0.998919377    2.734e-02
 17 post_gdn          5.670e-02  0.998452680    6.988e-03
 17 post_moe          6.547e-02  0.997939383    8.651e-03
 18 in                6.674e-02  0.997908565    9.843e-03
 18 hc_pre_mixed      9.755e-02  0.995267628    2.539e-01
 18 hc_pre_inj        3.918e-02  0.999871397    1.832e-02
 18 qkvz_preconv      3.826e-02  0.999284969    4.375e-01
 18 gates             1.720e-02  0.999884433    3.633e-02
 18 post_conv         2.797e-02  0.999609695    7.812e-02
 18 raw_recur         9.866e-03  0.999960984    9.766e-04
 18 pre_out_proj      6.892e-02  0.998015151    1.318e-02
 18 block_out         6.864e-02  0.998067340    5.775e-03
 18 post_gdn          6.540e-02  0.998069440    1.125e-02
 18 post_moe          6.730e-02  0.997945160    1.139e-02
 19 in                6.730e-02  0.997945160    1.139e-02
